Price,dia,tempMedia,tempMax,tempMin,humedadMedia,humedadMax,humedadMin,velViento,dirViento,velVientoMax,dirVientoVelMax,radiacion,precipitacion,Dia,Mes,Año
62,275.0,21.08,24.82,17.92,72.1,84.6,61.03,2.115,259.5,9.17,253.0,18.26,0.0,1,10,2020
65,276.0,19.72,23.19,17.38,65.62,85.5,26.16,5.084,257.9,12.46,224.5,11.72,0.2,2,10,2020
66,277.0,16.96,21.3,13.2,52.38,69.68,39.03,1.64,304.7,8.85,268.5,20.11,0.0,3,10,2020
66,279.0,17.62,23.17,13.8,68.13,81.5,50.24,0.737,33.62,3.293,160.1,18.35,0.0,5,10,2020
68,280.0,18.36,23.51,14.46,63.6,81.7,48.92,0.767,295.6,3.518,17.82,18.59,0.0,6,10,2020
67,281.0,18.9,24.0,12.67,62.89,81.7,38.71,0.634,268.6,3.371,3.032,18.75,0.0,7,10,2020
68,282.0,20.7,26.43,16.79,54.67,73.0,39.09,1.179,296.2,5.018,264.9,17.81,0.0,8,10,2020
68,283.0,19.71,24.1,17.59,67.74,79.2,55.59,0.768,292.2,2.901,7.3,16.27,0.0,9,10,2020
67,284.0,19.54,22.96,16.46,72.1,80.4,63.4,0.5650000000000001,307.9,2.597,24.64,13.33,0.0,10,10,2020
69,286.0,17.78,21.03,14.6,62.07,80.3,44.36,0.858,75.0,3.459,154.1,17.97,0.0,12,10,2020
72,287.0,16.81,20.71,13.73,63.36,80.3,42.38,1.874,299.9,5.116,261.6,18.2,0.0,13,10,2020
70,288.0,17.51,21.13,13.93,62.59,72.7,41.98,2.589,307.1,10.43,272.7,17.21,0.0,14,10,2020
70,289.0,17.55,22.71,14.4,58.31,77.2,39.63,1.42,317.3,4.802,258.1,17.32,0.0,15,10,2020
62,290.0,16.71,21.39,13.2,57.52,73.2,36.24,1.126,329.8,4.018,321.6,17.32,0.0,16,10,2020
